Factor,λ̄ (×100),SE_NW (×100),t-stat,p-value,% Positive,T,Sig (5%)
intercept,0.0752,0.0375,2.007,0.0451,54.6,916,***
momentum_20d,0.1479,0.1934,0.765,0.4445,49.0,916,
volume_ratio,0.0188,0.0986,0.191,0.8488,47.2,916,
rsi_14,-0.0874,0.2158,-0.405,0.6855,48.9,916,
macd_signal,-0.0164,0.1153,-0.142,0.8872,53.3,916,
foreign_net_buy,0.0602,0.0791,0.76,0.4471,50.5,916,
trust_net_buy,-0.0316,0.1136,-0.278,0.781,52.9,916,
dealer_net_buy,0.0424,0.0627,0.676,0.4991,50.4,916,
roe,-0.1599,0.0806,-1.984,0.0476,49.0,916,***
roa,-0.2194,0.1542,-1.423,0.1551,49.6,916,
eps_growth,0.2419,0.1324,1.826,0.0681,53.2,916,
revenue_yoy,0.1159,0.0813,1.425,0.1544,50.7,916,
