quarter,IC_event_mean,IC_nonevent_mean,d_q,N_event,N_nonevent
2021-Q2,0.025768,-0.010744,-0.036511,45,14
2021-Q3,0.044698,0.047992,0.003294,45,17
2021-Q4,-0.024456,0.119933,0.144389,45,18
2022-Q1,0.062687,0.12492,0.062233,45,10
2022-Q2,-0.012697,0.081348,0.094045,45,15
2022-Q3,0.054123,-0.005587,-0.05971,45,19
2022-Q4,0.020354,-0.056512,-0.076866,45,18
2023-Q1,0.050379,0.186969,0.13659,45,8
2023-Q2,0.033714,0.127001,0.093288,45,13
2023-Q3,0.013238,0.003144,-0.010094,45,17
2023-Q4,0.028496,-0.037198,-0.065694,45,17
2024-Q1,0.005231,-0.035107,-0.040339,45,10
2024-Q2,-0.000995,-0.029489,-0.028494,45,15
2024-Q3,0.016828,0.01828,0.001452,45,17
2024-Q4,0.029848,0.119568,0.08972,45,16
2025-Q1,-0.096143,0.08943,0.185573,45,9
2025-Q2,0.016511,-0.022968,-0.039479,45,15
2025-Q3,0.030927,0.052412,0.021485,45,18
2025-Q4,0.013847,-0.091907,-0.105753,45,16
2026-Q1,0.028449,-0.101643,-0.130092,45,9
