factor,T,L_nw,mean_ic,std_ic,icir,t_nw,p_nw,pct_positive,ic_p05,ic_p25,ic_p50,ic_p75,ic_p95,p_holm,sig_nw_05,sig_holm_05
roa,916,6,0.038357,0.392255,0.0978,2.8653,0.004261,54.1,-0.6028,-0.2619,0.0468,0.3432,0.6538,0.04261,True,True
dealer_net_buy,1317,7,0.03462,0.287682,0.1203,4.4236,1.1e-05,55.4,-0.4458,-0.1735,0.0412,0.2384,0.5035,0.000121,True,True
eps_growth,916,6,0.029401,0.375167,0.0784,2.3219,0.020458,53.4,-0.6034,-0.2539,0.0353,0.3118,0.63,0.163664,True,False
revenue_yoy,1071,6,0.022627,0.322993,0.0701,2.2257,0.026239,53.4,-0.5105,-0.2135,0.0383,0.2606,0.5428,0.183673,True,False
trust_net_buy,1317,7,0.018176,0.284428,0.0639,2.3759,0.017648,52.5,-0.4532,-0.1795,0.0191,0.2147,0.4915,0.158832,True,False
momentum_20d,1299,7,0.00985,0.355224,0.0277,0.9747,0.329876,50.7,-0.5654,-0.2483,0.0118,0.2609,0.6093,1.0,False,False
rsi_14,1305,7,0.003492,0.34116,0.0102,0.3568,0.721297,50.3,-0.5524,-0.2537,0.0044,0.2529,0.5647,1.0,False,False
roe,916,6,0.000875,0.279264,0.0031,0.0926,0.926243,49.3,-0.4622,-0.1926,0.0,0.1978,0.4629,1.0,False,False
macd_signal,1282,7,-0.000122,0.312701,-0.0004,-0.0139,0.988937,51.0,-0.5206,-0.2259,0.0066,0.2324,0.4971,1.0,False,False
foreign_net_buy,1317,7,-0.01015,0.299222,-0.0339,-1.2051,0.228379,48.9,-0.5176,-0.2235,-0.0074,0.2088,0.4706,1.0,False,False
volume_ratio,1309,7,-0.018628,0.289939,-0.0642,-2.1769,0.029666,45.5,-0.4876,-0.2324,-0.0294,0.1794,0.4667,0.183673,True,False
